,GROWTHDAY,GROWTHPERCENT,RANGE,name
0,707.5666666666667,25.148984064925074,21227,can
1,1405.0666666666666,11.320227736598994,42152,cherprang
2,276.96666666666664,18.079157509954527,8309,izutarina
3,265.76666666666665,15.485763120071482,7973,jaa
4,406.1666666666667,18.909649585648225,12185,jane
5,954.1666666666666,15.906400902427762,28625,jennis
6,264.0,20.098462163122363,7920,jib
7,940.6,20.609265332057646,28218,kaew
8,1115.0,19.88254734364412,33450,kaimook
9,172.26666666666668,14.797846752949255,5168,kate
10,474.43333333333334,23.63775264477769,14233,korn
11,356.8,18.229503729691075,10704,maysa
12,396.76666666666665,20.187578440351416,11903,mind
13,256.53333333333336,9.91573685159895,7696,miori
14,1025.6333333333334,18.039668626841703,30769,mobile
15,923.1666666666666,15.708484112849249,27695,music
16,568.5,15.934486882427692,17055,namneung
17,442.06666666666666,15.64837758112094,13262,namsai
18,249.36666666666667,13.470541630653997,7481,nink
19,865.5333333333333,13.893288245869357,25966,noey
20,1367.8,18.25120424856223,41034,orn
21,312.43333333333334,18.965238153049242,9373,piam
22,1216.6333333333334,8.725242938933576,36499,pun
23,608.3333333333334,18.54561713716643,18250,pupe
24,683.7,18.866414636165445,20511,satchan
25,571.2333333333333,15.667827788291874,17137,tarwaan
